Precinct	total_votes	votes|JB Pritzker & Juliana Stratton	votes|Bruce Rauner & Evelyn Sanguinetti	votes|Grayson Kash Jackson & Sanjeev Mohip	votes|William McCann & Aaron Merreighn
25003	798	564	197	24	13
25004	396	349	35	8	4
25005	484	406	57	18	3
25006	161	106	49	1	5
25007	483	421	40	17	5
25008	500	455	37	7	1
25009	432	392	26	11	3
25010	763	557	186	17	3
25011	489	438	31	11	9
25012	455	404	35	10	6
25013	524	491	20	11	2
25014	320	254	47	8	11
25015	411	347	43	16	5
25016	779	546	216	9	8
25017	517	456	41	11	9
25018	389	309	68	6	6
25019	491	448	26	12	5
25020	299	279	9	7	4
25021	881	714	131	29	7
25022	441	397	28	12	4
25023	529	475	41	10	3
25024	463	418	30	9	6
25025	493	345	110	26	12
25026	400	356	35	5	4
25027	617	485	113	16	3
25028	467	412	43	9	3
25029	360	334	15	8	3
25030	436	388	30	14	4
