Precinct	total_votes	votes|Karen A. Yarbrough
43041	656	656
43042	478	478
43043	416	416
43044	459	459
43045	290	290
43046	289	289
44001	837	837
44002	514	514
44003	325	325
44004	460	460
44005	647	647
44006	685	685
44007	351	351
44008	755	755
44009	534	534
44010	547	547
44011	576	576
44012	574	574
44013	437	437
44014	497	497
44015	492	492
44016	606	606
44017	723	723
44018	596	596
44019	656	656
44020	602	602
44021	687	687
44022	565	565
44023	561	561
44024	394	394
44025	535	535
44026	672	672
44027	638	638
44028	530	530
44029	554	554
44030	659	659
44031	455	455
44032	590	590
44033	608	608
44034	602	602
44035	634	634
44036	583	583
44037	607	607
44038	529	529
44039	571	571
44040	486	486
44041	702	702
45001	346	346
45002	414	414
45003	373	373
45004	488	488
45005	403	403
45006	544	544
45007	565	565
45008	414	414
45009	359	359
45010	379	379
45011	280	280
45012	353	353
45013	329	329
45014	482	482
45015	477	477
45016	335	335
45017	446	446
45018	390	390
45019	194	194
45020	271	271
45021	302	302
45022	335	335
45023	318	318
45024	265	265
45025	215	215
45026	163	163
45027	313	313
45028	281	281
45029	229	229
45030	336	336
45031	295	295
45032	317	317
45033	276	276
45034	375	375
45035	372	372
45036	360	360
45037	347	347
45038	317	317
45039	341	341
45040	321	321
45041	299	299
45042	318	318
45043	303	303
45044	323	323
45045	214	214
45046	239	239
45047	229	229
45048	258	258
46001	369	369
46002	474	474
46003	601	601
46004	487	487
46005	674	674
46006	435	435
46007	532	532
46008	329	329
46009	572	572
46010	829	829
46011	474	474
46012	562	562
46013	503	503
46014	474	474
46015	507	507
46016	613	613
46017	572	572
46018	570	570
46019	357	357
46020	425	425
46021	331	331
46022	384	384
46023	425	425
46024	611	611
46025	506	506
46026	590	590
46027	657	657
46028	490	490
46029	422	422
46030	540	540
46031	533	533
46032	519	519
46033	613	613
46034	609	609
46035	578	578
46036	494	494
46037	451	451
46038	554	554
46039	501	501
46040	433	433
47001	355	355
47002	505	505
47003	477	477
47004	541	541
47005	573	573
47006	628	628
47007	461	461
47008	499	499
47009	483	483
47010	678	678
47011	507	507
47012	555	555
47013	521	521
47014	468	468
47015	661	661
47016	506	506
47017	517	517
47018	490	490
47019	690	690
47020	507	507
47021	502	502
47022	535	535
47023	608	608
47024	549	549
47025	608	608
47026	703	703
47027	484	484
47028	477	477
47029	584	584
47030	658	658
47031	527	527
47032	670	670
47033	481	481
47034	547	547
47035	503	503
47036	610	610
47037	512	512
47038	517	517
47039	518	518
47040	521	521
47041	595	595
47042	559	559
47043	473	473
47044	495	495
47045	516	516
47046	486	486
47047	586	586
47048	40	40
48001	491	491
48002	221	221
48003	552	552
48004	495	495
48005	299	299
48006	623	623
48007	522	522
48008	264	264
48009	290	290
48010	746	746
48011	452	452
48012	621	621
48013	609	609
48014	247	247
48015	341	341
48016	534	534
48017	471	471
48018	338	338
48019	347	347
48020	598	598
48021	631	631
48022	427	427
48023	527	527
48024	530	530
