Precinct	total_votes	votes|Jacob Meister	votes|Iris Y. Martinez	votes|Richard R. Boykin	votes|Michael M. Cabonargi
22008	267	24	129	45	69
22009	144	13	101	12	18
22010	251	19	163	25	44
22011	178	12	129	16	21
22012	168	14	88	22	44
22013	184	22	133	10	19
22014	174	19	103	24	28
22015	153	23	104	10	16
22016	148	7	99	16	26
22017	208	15	138	20	35
22018	140	15	96	12	17
22019	87	20	23	27	17
22020	204	15	142	15	32
22021	196	16	38	92	50
22022	160	15	101	17	27
22023	266	21	86	91	68
22024	227	16	162	12	37
22025	187	14	147	10	16
23001	176	18	47	25	86
23002	176	16	67	36	57
23003	169	21	55	22	71
23004	214	31	90	20	73
23005	211	21	149	17	24
23006	93	8	49	12	24
23007	176	11	116	18	31
23008	220	23	113	19	65
23009	173	12	125	10	26
23010	218	27	133	16	42
23011	204	9	148	17	30
23012	204	21	64	18	101
23013	180	19	118	19	24
23014	184	21	72	25	66
23015	80	9	56	6	9
23016	199	19	65	30	85
23017	125	5	89	14	17
23018	162	21	48	21	72
23019	169	18	116	17	18
23020	105	9	81	6	9
23021	220	29	79	27	85
23022	187	21	81	20	65
23023	187	15	74	22	76
23024	134	11	87	7	29
23025	169	19	104	13	33
23026	180	21	104	12	43
23027	189	14	76	18	81
23028	200	17	90	22	71
23029	173	16	72	19	66
23030	242	21	150	19	52
23031	172	16	124	14	18
23032	174	14	112	18	30
23033	195	16	139	20	20
23034	208	19	145	23	21
23035	152	17	62	23	50
23036	154	16	59	22	57
23037	200	24	72	25	79
23038	176	17	74	18	67
23039	215	22	148	14	31
24001	172	11	28	109	24
24002	146	22	27	83	14
24003	167	20	40	86	21
24004	129	9	26	72	22
24005	87	7	23	43	14
24006	199	16	38	116	29
24007	114	24	56	12	22
24008	81	7	15	47	12
24009	154	26	38	71	19
24010	80	9	20	40	11
24011	179	11	43	102	23
24012	78	4	17	41	16
24013	78	5	11	51	11
24014	129	16	28	63	22
24015	65	4	10	38	13
24016	398	68	189	104	37
24017	124	15	17	70	22
24018	195	18	36	116	25
24019	205	17	46	113	29
24020	136	13	29	67	27
24021	87	3	21	53	10
24022	221	18	53	122	28
24023	115	11	18	67	19
24024	208	14	47	113	34
24025	126	10	31	63	22
24026	270	27	46	158	39
24027	194	17	54	98	25
