Precinct	total_votes	votes|Herb Schumann	votes|Martin J. Durkan	votes|Christopher Anthony
29044	608	38	534	36
30001	530	84	366	80
30002	449	90	306	53
30003	351	58	224	69
30004	462	113	293	56
30005	381	47	300	34
30006	368	41	285	42
30007	506	92	311	103
30008	497	62	331	104
30009	382	79	250	53
30010	523	98	385	40
30011	439	42	352	45
30012	458	77	343	38
30013	415	79	295	41
30014	309	46	241	22
30015	381	94	226	61
30016	240	41	174	25
30017	463	96	324	43
30018	535	57	399	79
30019	461	43	374	44
30020	480	85	333	62
30021	359	80	241	38
30022	604	69	424	111
30023	517	68	372	77
30024	547	73	383	91
30025	598	100	401	97
30026	308	55	205	48
30027	306	50	210	46
30028	509	69	338	102
30029	311	45	236	30
