Precinct	total_votes	votes|Donald J. Trump & Michael R. Pence	votes|Hillary R. Clinton & Timothy M. Kaine	votes|Gary Johnson & Bill Weld	votes|Jill Stein & Ajamu Baraka
23038	397	159	226	7	5
23039	450	35	405	5	5
24001	418	3	411	2	2
24002	463	5	455	1	2
24003	517	9	499	3	6
24004	378	3	372	2	1
24005	304	7	291	1	5
24006	445	4	429	5	7
24007	273	12	244	4	13
24008	219	1	215	1	2
24009	479	8	463	2	6
24010	224	8	209	2	5
24011	551	7	537	4	3
24012	294	4	284	2	4
24013	302	3	293	3	3
24014	466	4	455	4	3
24015	307	8	295	1	3
24016	492	18	455	5	14
24017	376	5	364	1	6
24018	456	5	443	3	5
24019	542	4	534	1	3
24020	393	5	383	3	2
24021	245	2	239	4	0
24022	621	5	610	3	3
24023	467	16	447	4	0
24024	632	6	619	2	5
24025	355	3	349	2	1
24026	596	10	579	2	5
24027	470	6	462	1	1
24028	335	1	332	1	1
24029	304	3	298	2	1
24030	262	1	260	0	1
24031	508	7	495	3	3
24032	273	5	261	3	4
24033	287	2	280	1	4
24034	435	7	423	3	2
24035	436	0	433	0	3
24036	544	9	523	3	9
24037	294	4	285	2	3
24038	350	10	327	6	7
24039	494	16	468	6	4
24040	521	7	511	0	3
24041	318	5	309	1	3
25001	471	22	420	8	21
25002	544	18	485	10	31
25003	771	92	621	44	14
25004	570	46	507	11	6
25005	577	67	475	11	24
25006	226	62	161	2	1
25007	542	42	468	4	28
25008	607	25	550	13	19
25009	602	37	536	5	24
25010	890	120	711	51	8
25011	569	40	491	9	29
25012	511	33	446	10	22
25013	624	16	572	11	25
25014	421	82	326	8	5
25015	504	48	431	9	16
25016	840	128	663	40	9
25017	591	42	515	16	18
25018	518	94	404	10	10
25019	599	20	544	11	24
25020	477	8	456	8	5
25021	964	122	782	39	21
25022	533	33	462	13	25
25023	610	33	544	7	26
25024	578	29	514	6	29
25025	599	145	423	16	15
25026	528	37	472	7	12
25027	790	118	629	32	11
25028	565	26	505	13	21
25029	532	25	498	5	4
25030	538	31	474	12	21
25031	1044	176	808	48	12
25032	493	85	384	8	16
